transition,model,feature_set,calibration,critical_parameter,critical_value,x,distance_from_critical,chi_err
BCb,Random Forest,20,calibrated,Delta_crit,0.0381284293650779,0.0382,7.157063492210097e-05,0.0178961157522896
BCb,Random Forest,20,calibrated,Delta_crit,0.0381284293650779,0.0378,0.0003284293650778966,0.0104995945616117
BCb,Random Forest,20,calibrated,Delta_crit,0.0381284293650779,0.0386,0.0004715706349221055,0.0050523891170358
BCb,Random Forest,20,calibrated,Delta_crit,0.0381284293650779,0.0374,0.0007284293650778942,3.03176538125783e-05
BCb,Random Forest,20,calibrated,Delta_crit,0.0381284293650779,0.039,0.0008715706349221031,8.3623261656655e-06
BCb,Random Forest,12,uncalibrated,Delta_crit,0.0379533480349528,0.0378,0.00015334803495280214,0.0201854509107464
BCb,Random Forest,12,uncalibrated,Delta_crit,0.0379533480349528,0.0382,0.00024665196504719544,0.0244797466809628
BCb,Random Forest,12,uncalibrated,Delta_crit,0.0379533480349528,0.0374,0.0005533480349527997,0.002697065900833
BCb,Random Forest,12,uncalibrated,Delta_crit,0.0379533480349528,0.0386,0.0006466519650472,4.75168698881938e-05
BCb,Random Forest,12,uncalibrated,Delta_crit,0.0379533480349528,0.037,0.0009533480349528042,0.000105487435428
BCb,Random Forest,12,calibrated,Delta_crit,0.0379803855384576,0.0378,0.00018038553845760308,0.0314609141439309
BCb,Random Forest,12,calibrated,Delta_crit,0.0379803855384576,0.0382,0.0002196144615423945,0.0367933725422705
BCb,Random Forest,12,calibrated,Delta_crit,0.0379803855384576,0.0374,0.0005803855384576007,0.0007151531899837
BCb,Random Forest,12,calibrated,Delta_crit,0.0379803855384576,0.0386,0.000619614461542399,1.6977385869485e-05
BCb,Random Forest,12,calibrated,Delta_crit,0.0379803855384576,0.037,0.0009803855384576052,7.54725815244144e-08
BCb,Neural Network,30,uncalibrated,Delta_crit,0.0378974318047632,0.0378,9.743180476320251e-05,0.020624508944102
BCb,Neural Network,30,uncalibrated,Delta_crit,0.0378974318047632,0.0382,0.00030256819523679507,0.0234250250889002
